ruta,origen,destino,fecha_salida,fecha_vuelta,precio_gol,precio_aerolineas,mejor_precio,mejor_sitio,ultima_actualizacion
Buenos Aires (Aeroparque) - Goiânia,AEP,GYN,23/01/2027,02/02/2027,"R$ 3.281,00","R$ 3.604,00","R$ 3.281,00",gol,"21/08/2026, 12:50 p. m."
Buenos Aires (Aeroparque) - Goiânia,AEP,GYN,24/01/2027,03/02/2027,"R$ 3.428,00","R$ 3.515,00","R$ 3.428,00",gol,"21/08/2026, 12:50 p. m."
Buenos Aires (Aeroparque) - Goiânia,AEP,GYN,25/01/2027,04/02/2027,"R$ 3.428,00","R$ 3.659,00","R$ 3.428,00",gol,"21/08/2026, 12:50 p. m."
Buenos Aires (Aeroparque) - Goiânia,AEP,GYN,26/01/2027,05/02/2027,"R$ 3.569,00","R$ 3.659,00","R$ 3.569,00",gol,"21/08/2026, 12:50 p. m."
Buenos Aires (Aeroparque) - Goiânia,AEP,GYN,27/01/2027,06/02/2027,"R$ 3.428,00","R$ 3.659,00","R$ 3.428,00",gol,"21/08/2026, 12:50 p. m."
Buenos Aires (Aeroparque) - Goiânia,AEP,GYN,28/01/2027,07/02/2027,"R$ 3.428,00","R$ 3.515,00","R$ 3.428,00",gol,"21/08/2026, 12:50 p. m."
Buenos Aires (Aeroparque) - Goiânia,AEP,GYN,29/01/2027,08/02/2027,"R$ 3.428,00","R$ 3.515,00","R$ 3.428,00",gol,"21/08/2026, 12:50 p. m."
Buenos Aires (Aeroparque) - Goiânia,AEP,GYN,30/01/2027,09/02/2027,"R$ 3.428,00","R$ 3.654,00","R$ 3.428,00",gol,"21/08/2026, 12:50 p. m."
Buenos Aires (Aeroparque) - Goiânia,AEP,GYN,31/01/2027,10/02/2027,"R$ 3.569,00","R$ 3.371,00","R$ 3.371,00",aerolineas,"21/08/2026, 12:50 p. m."
Buenos Aires (Aeroparque) - Goiânia,AEP,GYN,01/02/2027,11/02/2027,"R$ 4.234,00","R$ 3.510,00","R$ 3.510,00",aerolineas,"21/08/2026, 12:50 p. m."
Buenos Aires (Aeroparque) - Goiânia,AEP,GYN,02/02/2027,12/02/2027,"R$ 3.113,00","R$ 3.371,00","R$ 3.113,00",gol,"21/08/2026, 12:50 p. m."
Buenos Aires (Aeroparque) - Goiânia,AEP,GYN,03/02/2027,13/02/2027,"R$ 4.093,00","R$ 3.510,00","R$ 3.510,00",aerolineas,"21/08/2026, 12:50 p. m."
Buenos Aires (Aeroparque) - Goiânia,AEP,GYN,04/02/2027,14/02/2027,"R$ 4.093,00","R$ 3.510,00","R$ 3.510,00",aerolineas,"21/08/2026, 12:50 p. m."
Buenos Aires (Aeroparque) - Goiânia,AEP,GYN,05/02/2027,15/02/2027,"R$ 4.093,00","R$ 3.510,00","R$ 3.510,00",aerolineas,"21/08/2026, 12:50 p. m."
Buenos Aires (Aeroparque) - Goiânia,AEP,GYN,06/02/2027,16/02/2027,"R$ 4.093,00","R$ 3.609,00","R$ 3.609,00",aerolineas,"21/08/2026, 12:50 p. m."
Buenos Aires (Aeroparque) - Goiânia,AEP,GYN,07/02/2027,17/02/2027,"R$ 3.093,00","R$ 3.321,00","R$ 3.093,00",gol,"21/08/2026, 12:50 p. m."
Buenos Aires (Aeroparque) - Goiânia,AEP,GYN,08/02/2027,18/02/2027,"R$ 4.093,00","R$ 3.371,00","R$ 3.371,00",aerolineas,"21/08/2026, 12:50 p. m."
Buenos Aires (Aeroparque) - Goiânia,AEP,GYN,09/02/2027,19/02/2027,"R$ 4.094,00","R$ 3.371,00","R$ 3.371,00",aerolineas,"21/08/2026, 12:50 p. m."
Buenos Aires (Aeroparque) - Goiânia,AEP,GYN,10/02/2027,20/02/2027,"R$ 4.214,00","R$ 3.371,00","R$ 3.371,00",aerolineas,"21/08/2026, 12:50 p. m."
Buenos Aires (Aeroparque) - Goiânia,AEP,GYN,11/02/2027,21/02/2027,"R$ 4.214,00","R$ 3.477,00","R$ 3.477,00",aerolineas,"21/08/2026, 12:50 p. m."
Buenos Aires (Aeroparque) - Goiânia,AEP,GYN,12/02/2027,22/02/2027,"R$ 3.093,00","R$ 3.621,00","R$ 3.093,00",gol,"21/08/2026, 12:50 p. m."
Buenos Aires (Aeroparque) - Goiânia,AEP,GYN,13/02/2027,23/02/2027,"R$ 3.094,00","R$ 3.621,00","R$ 3.094,00",gol,"21/08/2026, 12:50 p. m."
Buenos Aires (Aeroparque) - Goiânia,AEP,GYN,14/02/2027,24/02/2027,"R$ 3.093,00","R$ 3.621,00","R$ 3.093,00",gol,"21/08/2026, 12:50 p. m."
Buenos Aires (Aeroparque) - Goiânia,AEP,GYN,15/02/2027,25/02/2027,"R$ 3.094,00","R$ 3.477,00","R$ 3.094,00",gol,"21/08/2026, 12:50 p. m."
Buenos Aires (Aeroparque) - Goiânia,AEP,GYN,16/02/2027,26/02/2027,"R$ 3.093,00","R$ 3.355,00","R$ 3.093,00",gol,"21/08/2026, 12:50 p. m."
Buenos Aires (Aeroparque) - Goiânia,AEP,GYN,17/02/2027,27/02/2027,"R$ 3.093,00","R$ 3.372,00","R$ 3.093,00",gol,"21/08/2026, 12:50 p. m."
Buenos Aires (Aeroparque) - Goiânia,AEP,GYN,18/02/2027,28/02/2027,"R$ 3.093,00","R$ 3.354,00","R$ 3.093,00",gol,"21/08/2026, 12:50 p. m."
Buenos Aires (Aeroparque) - Goiânia,AEP,GYN,19/02/2027,01/03/2027,"R$ 3.094,00","R$ 3.183,00","R$ 3.094,00",gol,"21/08/2026, 12:50 p. m."
Buenos Aires (Aeroparque) - Goiânia,AEP,GYN,20/02/2027,02/03/2027,"R$ 3.094,00","R$ 3.304,00","R$ 3.094,00",gol,"21/08/2026, 12:50 p. m."
Buenos Aires (Aeroparque) - Goiânia,AEP,GYN,21/02/2027,03/03/2027,"R$ 3.092,00","R$ 3.233,00","R$ 3.092,00",gol,"21/08/2026, 12:50 p. m."
Buenos Aires (Aeroparque) - Goiânia,AEP,GYN,22/02/2027,04/03/2027,"R$ 3.093,00","R$ 3.233,00","R$ 3.093,00",gol,"21/08/2026, 12:50 p. m."
Buenos Aires (Aeroparque) - Goiânia,AEP,GYN,23/02/2027,05/03/2027,"R$ 3.093,00","R$ 3.233,00","R$ 3.093,00",gol,"21/08/2026, 12:50 p. m."
Buenos Aires (Aeroparque) - Goiânia,AEP,GYN,24/02/2027,06/03/2027,"R$ 3.093,00","R$ 3.238,00","R$ 3.093,00",gol,"21/08/2026, 12:50 p. m."
Buenos Aires (Aeroparque) - Goiânia,AEP,GYN,25/02/2027,07/03/2027,"R$ 3.093,00","R$ 3.238,00","R$ 3.093,00",gol,"21/08/2026, 12:50 p. m."
Buenos Aires (Aeroparque) - Goiânia,AEP,GYN,26/02/2027,08/03/2027,"R$ 3.092,00","R$ 3.238,00","R$ 3.092,00",gol,"21/08/2026, 12:50 p. m."
Buenos Aires (Aeroparque) - Goiânia,AEP,GYN,27/02/2027,09/03/2027,"R$ 3.094,00","R$ 3.238,00","R$ 3.094,00",gol,"21/08/2026, 12:50 p. m."
